,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_CMG,adClose_ELC,,,x,,1
1,adClose_CMG,adClose_PSD,,x,x,x,3
2,adClose_CMG,adClose_SAM,,,,x,1
3,adClose_ELC,adClose_FPT,,x,,x,2
4,adClose_ELC,adClose_ITD,,x,x,x,3
5,adClose_ELC,adClose_PSD,x,x,x,x,4
6,adClose_ELC,adClose_ST8,,,,x,1
7,adClose_ELC,adClose_TYA,,x,x,x,3
8,adClose_FPT,adClose_ITD,x,,,,1
9,adClose_FPT,adClose_PSD,,x,x,x,3
10,adClose_FPT,adClose_SAM,x,,,,1
11,adClose_FPT,adClose_TYA,x,,,,1
12,adClose_ITD,adClose_PSD,,,x,x,2
13,adClose_ITD,adClose_SAM,x,,,,1
14,adClose_ITD,adClose_SGT,x,,,,1
15,adClose_ITD,adClose_ST8,x,,,x,2
16,adClose_PSD,adClose_SAM,,x,x,x,3
17,adClose_PSD,adClose_SGT,,x,,x,2
18,adClose_PSD,adClose_SRA,,x,,x,2
19,adClose_PSD,adClose_ST8,,x,,x,2
20,adClose_PSD,adClose_TYA,,x,,x,2
21,adClose_SAM,adClose_SGT,x,,,,1
22,adClose_SAM,adClose_ST8,x,,,x,2
23,adClose_SGT,adClose_ST8,x,,,x,2
